journal_issue_id	article_count	issue_details	article_ids
journal-issue-011398	2	— 1997. — № 9.	article-032262; article-032283
journal-issue-010492	2	— Латвия, Рига, 1993. — Вып. 1. — С. 8–11, 25: ил.	article-030153; article-030154
journal-issue-010493	4	— Латвия, Рига, 1994. — Вып. 2. — С. 3–7, 15, 16: ил.	article-030155; article-030156; article-030157; article-030158
journal-issue-010494	5	— Латвия, Рига, 1995. — Вып. 4. — С. 6–17, 18: ил.	article-030159; article-030160; article-030161; article-030162; article-030163
journal-issue-010495	4	— Латвия, Рига, 1996. — Вып. 7. — С. 7–9, 25: ил.	article-030164; article-030165; article-030166; article-030245
journal-issue-010496	10	— Латвия, Рига, 1997. — Вып. 10. — С. 23–27.	article-030167; article-030168; article-030169; article-030170; article-030171; article-030172; article-030173; article-030242; article-030247; article-030263
journal-issue-010497	8	— Латвия, Рига, 1998. — Вып. 13. — С. 12.	article-030174; article-030175; article-030176; article-030177; article-030178; article-030179; article-030180; article-030251
journal-issue-010498	6	— Латвия, Рига, 1999. — Вып. 16. — С. 9–16.	article-030181; article-030182; article-030183; article-030184; article-030185; article-030258
journal-issue-010500	9	— Латвия, Рига, 2000. — Вып. 19. — С. 9–12.	article-030187; article-030188; article-030189; article-030190; article-030191; article-030192; article-030195; article-030196; article-030197
journal-issue-010502	5	— Латвия, Рига, 2001. — Вып. 23. — С. 3–13: ил.	article-030198; article-030199; article-030200; article-030201; article-030259
journal-issue-010503	5	— Латвия, Рига, 2002. — Вып. 25. — С. 8–12: ил.	article-030202; article-030203; article-030244; article-030248; article-030252
journal-issue-010505	9	— Латвия, Рига, 2003. — Вып. 29. — С. 8–9.	article-030205; article-030206; article-030207; article-030208; article-030250; article-030253; article-030254; article-030255; article-030260
journal-issue-010506	7	— Латвия, Рига, 2004. — Вып. 31. — С. 21–23: ил.	article-030209; article-030210; article-030211; article-030212; article-030213; article-030261; article-030262
journal-issue-010507	6	— Латвия, Рига, 2005. — Вып. 34. — С. 8–18.	article-030214; article-030215; article-030216; article-030217; article-030256; article-030257
journal-issue-010508	5	— Латвия, Рига, 2006. — Вып. 38. — С. 3–5.	article-030218; article-030219; article-030220; article-030246; article-030249
journal-issue-010509	5	— Латвия, Рига, 2007. — Вып. 40. — С. 30–31.	article-030221; article-030222; article-030223; article-030224; article-030225
journal-issue-010510	3	— Латвия, Рига, 2008. — Вып. 43. — С. 11–20.	article-030226; article-030227; article-030228
journal-issue-010511	6	— Латвия, Рига, 2009. — Вып. 46. — С. 11–12.	article-030229; article-030230; article-030231; article-030232; article-030233; article-030243
journal-issue-010512	3	— Латвия, Рига, 2010. — Вып. 49. — С. 11.	article-030234; article-030235; article-030236
journal-issue-010513	4	— Латвия, Рига, 2011. — Вып. 52. — С. 11–21.	article-030237; article-030238; article-030239; article-030240
journal-issue-011743	2	— 1928. — № 3. — С. 13–14.	article-033102; article-033116
journal-issue-011746	2	— 1928. — № 9–10. — С. 6–7.	article-033105; article-033113
journal-issue-011747	4	— 1929. — № 1. — С. 9. — На укр. яз.	article-033106; article-033111; article-033114; article-033131
journal-issue-011748	6	— 1929. — № 3. — С. 11–12.	article-033107; article-033117; article-033118; article-033119; article-033125; article-033129
journal-issue-011751	3	— 1929. — № 4. — С. 4–5.	article-033115; article-033123; article-033126
journal-issue-011741	5	— 1929. — № 5. — С. 14–15.	article-033100; article-033108; article-033110; article-033120; article-033134
journal-issue-011750	6	— 1929. — № 6. — С. 5.	article-033112; article-033124; article-033127; article-033128; article-033130; article-033132
journal-issue-011208	2	— 1992. — № 15.	article-032024; article-032025
journal-issue-010173	2	— 1919. — № 10. — С. 32.	article-029571; article-029577
journal-issue-010177	2	— 1919. — № 11. — С. 4.	article-029579; article-029591
journal-issue-010158	2	— 1919. — № 1–2. — 1 сентября — С. 24.	article-029551; article-029600
journal-issue-010159	4	— 1919. — № 3–4. — 15 сентября — С. 26.	article-029552; article-029580; article-029585; article-029594
journal-issue-010162	2	— 1919. — № 7. — 18 октября — С. 14.	article-029556; article-029573
journal-issue-010163	3	— 1919. — № 8. — 25 октября — С. 22.	article-029557; article-029565; article-029578
journal-issue-010180	2	— 1920. — № 1 (17). — 6 февраля — С. 10.	article-029593; article-029599
journal-issue-010182	2	— 1920. — № 10–11 (26–27). — 16 июня. — С. 23–25.	article-029598; article-033135
journal-issue-010170	4	— 1920. — № 18 (34). — 20 ноября. — С. 9.	article-029567; article-029569; article-029590; article-029592
journal-issue-010174	3	— 1920. — № 19 (35). — 19 декабря — С. 10–12.	article-029572; article-029581; article-029586
journal-issue-010165	2	— 1920. — № 4 (20). — 15 марта. — С. 13–14.	article-029559; article-029597
journal-issue-010169	3	— 1920. — № 5. — 3 апреля. — С. 4.	article-029566; article-029582; article-029601
journal-issue-010167	3	— 1921. — № 12. — 1 сентября. — С. 33.	article-029561; article-029595; article-029602
journal-issue-010168	3	— 1921. — № 14. — 1 октября. — С. 26.	article-029562; article-029563; article-029606
journal-issue-010161	2	— 1921. — № 16. — 1 ноября. — С. 27–29. История развития денежного обращения на Юго-Востоке России в 1920–21 гг.	article-029554; article-029584
journal-issue-010181	3	— 1921. — № 19. — 1 декабря. — С. 4–13.	article-029596; article-029604; article-029605
journal-issue-010155	4	— 1921. — № 20. — 15 декабря. — С. 1–4.	article-029548; article-029564; article-029588; article-029589
journal-issue-010166	2	— 1921. — № 5–10. (41–46). — май-июль. — С. 36.	article-029560; article-029576
journal-issue-010156	2	— 1922. — № 1. — 1 января. — С. 3–5.	article-029549; article-029555
journal-issue-011502	3	— Майкоп, 1999. — Вып. 1. — С. 9–22.	article-032409; article-032410; article-032411
journal-issue-011503	2	— Вып. 3. — С. 154–171.	article-032412; article-032413
journal-issue-010188	3	— 1928. — № 3.	article-029611; article-029617; article-029620
journal-issue-010189	2	— 1928. — № 4–5.	article-029612; article-029621
journal-issue-010190	2	— 1928. — № 7.	article-029613; article-029619
journal-issue-010192	3	— 1928. — № 9–10.	article-029615; article-029618; article-029623
journal-issue-010198	3	— 1934. — № 1.	article-029627; article-029628; article-029629
journal-issue-010298	2	— 1970. — № 10–11. — С. 20–26.	article-029770; article-029771
journal-issue-010297	2	— 1970. — № 8–9. — С. 29–30.	article-029768; article-029769
journal-issue-010536	3	— 2002. — № 4. — С. 56–59.	article-030298; article-030314; article-030321
journal-issue-010534	2	— 2003. — № 1. — С. 55–57.	article-030296; article-030315
journal-issue-010539	2	— 2004. — № 1. — С. 51–53.	article-030301; article-030302
journal-issue-010540	3	— 2004. — № 2. — С. 82–88.	article-030303; article-030304; article-030323
journal-issue-010541	4	— 2005. — № 1. — С. 27–29.	article-030305; article-030306; article-030317; article-030324
journal-issue-010542	4	— 2006. — № 2. — С. 83–97.	article-030307; article-030308; article-030309; article-030313
journal-issue-010544	2	— 2008. — № 3–4 (31–32). — С. 55–65.	article-030311; article-030320
journal-issue-010523	4	— 1998. — № 1 (3). — январь. — С. 11.	article-030272; article-030285; article-030292; article-030293
journal-issue-010526	3	— 1998. — № 10 (12). — июнь. — С. 10.	article-030275; article-030282; article-030287
journal-issue-010527	5	— 1998. — № 11 (13). — октябрь. — С. 11: ил.	article-030276; article-030283; article-030288; article-030289; article-030291
journal-issue-010529	3	— 1998. — № 15 (17). — октябрь. — С. 11: ил.	article-030278; article-030284; article-030290
journal-issue-010525	3	— 1998. — № 6 (8). — апрель. — С. 11: ил.	article-030274; article-030286; article-030294
journal-issue-010547	3	— 2005. — №3. — С. 44–46.	article-030318; article-030319; article-030326
journal-issue-010550	2	— 2007. — № 3–4 (26–27). — С. 54–55.	article-030327; article-030328
journal-issue-010208	4	— Севастополь, 1922. — № 2. — С. 4–5.	article-029640; article-029641; article-029644; article-029651
journal-issue-010211	3	— Севастополь, 1922. — № 3. — С. 4; № 4. — С. 3.	article-029649; article-029650; article-029652
journal-issue-010209	2	— Севастополь, 1923. — № 1. — С. 9–10.	article-029642; article-029646
journal-issue-010206	2	— Севастополь, 1923. — № 2. — С. 7.	article-029637; article-029638
journal-issue-010207	2	— Севастополь, 1923. — № 3. — С. 5–6: ил.; 1924. — № 4–5. — С. 5–6: ил.	article-029639; article-029647
journal-issue-010210	3	— Севастополь, 1924. — № 4–5. — С. 37.	article-029643; article-029645; article-029648
journal-issue-010555	3	— 1998. — № 4 — С. 5.	article-030333; article-030438; article-030459
journal-issue-010603	2	— 1998. — № 6. — С. 3.	article-030416; article-030458
journal-issue-010595	2	— 1998. — № 7. — С. 3.	article-030402; article-030417
journal-issue-010579	6	— 1998. — № 9. — С. 5.	article-030365; article-030375; article-030399; article-030403; article-030418; article-030419
journal-issue-010584	4	— 1999. — № 3 (31). — С. 5.	article-030371; article-030420; article-030421; article-030469
journal-issue-010585	4	— 1999. — № 5 (14). — С. 5.	article-030372; article-030422; article-030453; article-030468
journal-issue-010612	2	— 2000. — № 1 (17). — С. 1.	article-030440; article-030460
journal-issue-010570	5	— 2000. — № 2 (18). — С. 6.	article-030352; article-030366; article-030373; article-030401; article-030466
journal-issue-010571	2	— 2000. — № 3 (19). — С. 4.	article-030353; article-030463
journal-issue-010572	2	— 2001. — № 1 (23). — С. 6.	article-030354; article-030454
journal-issue-010561	3	— 2001. — № 4 (26). — С. 6.	article-030339; article-030377; article-030381
journal-issue-010573	2	— 2002. — № 1 (27). — С. 8.	article-030355; article-030462
journal-issue-010580	2	— 2002. — № 3 (29). — С. 4.	article-030367; article-030384
journal-issue-010562	3	— 2002. — № 5 (31). — С. 2.	article-030340; article-030378; article-030406
journal-issue-010587	2	— 2002. — № 6 (32). — С. 4.	article-030379; article-030449
journal-issue-010578	3	— 2003. — № 2 (35). — С. 6.	article-030364; article-030394; article-030400
journal-issue-010593	2	— 2003. — № 4 (37). — С. 5.	article-030389; article-030393
journal-issue-010559	3	— 2003. — № 6–7 (39–40). — С. 3.	article-030337; article-030356; article-030407
journal-issue-010590	2	— 2004. — № 2 (43). — С. 9.	article-030385; article-030428
journal-issue-010583	3	— 2004. — № 5 (46). — С. 3.	article-030370; article-030374; article-030382
journal-issue-010609	3	— 2004. — № 6 (47). — С. 2.	article-030429; article-030430; article-030452
journal-issue-010610	2	— 2004. — № 7 (48). — С. 2.	article-030431; article-030455
journal-issue-010591	3	— 2005. — № 1 (49). — С. 1.	article-030386; article-030432; article-030435
journal-issue-010552	3	— 2005. — № 2 (50). — С. 15.	article-030330; article-030433; article-030434
journal-issue-010574	2	— 2007–2008. — № 1 (66–69). — С. 27.	article-030358; article-030461
journal-issue-010551	2	— 2007. — № 5–7 (63–67). — С. 12–13; 2007–2008. — № 1 (66–69). — С. 14–15.	article-030329; article-030357
journal-issue-010553	4	— 2008. — № 3 (75–79). — С. 23.	article-030331; article-030360; article-030437; article-030450
journal-issue-010576	2	— 2009. — № 1 (80–83). — С. 22–23.	article-030361; article-030436
journal-issue-010614	2	— 2009–2012. — № 1 (92–94). — С. 19.	article-030344; article-030448
journal-issue-010554	5	— 2009. — № 2 (84–87). — С. 31–32.	article-030332; article-030341; article-030392; article-030409; article-030456
journal-issue-010566	2	— 2010. — № 3 (100–104). — С. 12–16.	article-030345; article-030363
journal-issue-010563	3	— 2011. — № 1 (105–113). — С. 28.	article-030342; article-030346; article-030398
journal-issue-010602	2	— 2011. — № 2 (114–121). — С. 24.	article-030414; article-030457
journal-issue-010557	4	— 2012. — № 1 (114–120). — С. 8.	article-030335; article-030391; article-030395; article-030445
journal-issue-010558	5	— 2012. — № 2 (121–130). — С. 6, 9–10.	article-030336; article-030347; article-030396; article-030397; article-030443
journal-issue-010560	3	— 2013. — № 3 (131–142). — С. 15.	article-030338; article-030348; article-030444
journal-issue-010568	4	— 2015. — № 1 (155). — С. 47.	article-030350; article-030387; article-030404; article-030447
journal-issue-010592	2	— 2017. — № 1 (158). — С. 36.	article-030388; article-030411
journal-issue-010589	2	— 2022. — № 1. — С. 82–83.	article-030383; article-030441
journal-issue-010601	4	— 2022. — №1–2. — С. 42–45.	article-030413; article-030415; article-030442; article-030467
journal-issue-010652	2	— Вологда, 2003. — Вып. 9. — С. 166–178.	article-030539; article-030541
journal-issue-010618	2	— 1994. — № 21. — С. 12–13: ил.	article-030470; article-030491
journal-issue-010619	2	— 1995. — № 25. — С. 11; 1995. — № 26. — С. 8: ил.	article-030471; article-030523
journal-issue-010647	2	— 1996. — № 24. — Приложение Бонистика. — Вып. 1. — С. 8.	article-030518; article-030519
journal-issue-010638	5	— 1996. — № 28. — Январь. — Приложение Бонистика. — Вып. 3. — С. 2–3: ил.	article-030494; article-030499; article-030500; article-030516; article-030522
journal-issue-010639	6	— 1996. — № 31. — Приложение Бонистика. — Вып. 4. — С. 6–7: ил.; 1997. — № 35. — Приложение Бонистика. — Вып. 5. — С. 5–7: ил.; 1998. — № 40. — Приложение Бонистика. — Вып. 6. — С. 6–7.	article-030495; article-030501; article-030502; article-030503; article-030517; article-030529
journal-issue-010620	2	— 1996. — № 32. — С. 9.	article-030472; article-030489
journal-issue-010626	4	— 1997. — № 35. — С. 7: ил.	article-030479; article-030504; article-030505; article-030520
journal-issue-010642	4	— 1998. — № 40. — Приложение Бонистика 6. — С. 8: ил.	article-030506; article-030525; article-030532; article-030534
journal-issue-010622	2	— 1999. — № 3 (43). — Приложение «Жетоны, марки, фишки» № 11. — С. 1.	article-030474; article-030475
journal-issue-010643	6	— 2000. — № 5 (45). — Приложение Бонистика. — Вып. 7. — С. 4–5: ил.	article-030507; article-030521; article-030524; article-030527; article-030533; article-030535
journal-issue-010640	5	— 2001. — Приложение Бонистика. — Вып. 8. — С. 2–3.	article-030496; article-030497; article-030508; article-030509; article-030536
journal-issue-010645	5	— 2003. — № 21 (61). — Приложение Бонистика. — Вып. 9. — С. 3.	article-030510; article-030511; article-030528; article-030530; article-030537
journal-issue-010636	2	— 2004. — № 25 (65). — С. 7.	article-030492; article-030512
journal-issue-010641	4	— 2005. — № 28 (68). — Приложение Бонистика. — Вып. 12. — С. 1–4.	article-030498; article-030513; article-030514; article-030515
journal-issue-010633	2	— 2006. — № 31 (71). — С. 14.	article-030486; article-030487
journal-issue-011220	4	— 2000. — январь-февраль.	article-032037; article-032038; article-032039; article-032040
journal-issue-011222	2	— 2001. — март-апрель.	article-032042; article-032044
journal-issue-011225	2	— 2002. — март-апрель.	article-032046; article-032047
journal-issue-011217	2	— 2007. — № 2 (80). — С. 72–75.	article-032034; article-032057
journal-issue-011723	2	— Саранск: Мордов. кн. изд-во, 2003. — С. 176–177.	article-033066; article-033067
journal-issue-011845	10	— Московский бонист. — 1960. — № 1	article-033440; article-033441; article-033442; article-033443; article-033444; article-033445; article-033446; article-033447; article-033448; article-033449
journal-issue-011846	7	— Московский бонист. — 1960. — № 2	article-033450; article-033451; article-033452; article-033453; article-033454; article-033455; article-033456
journal-issue-011847	5	— Московский бонист. — 1960. — № 3	article-033457; article-033458; article-033459; article-033460; article-033461
journal-issue-011848	6	— Московский бонист. — 1960. — № 4	article-033462; article-033463; article-033464; article-033465; article-033466; article-033467
journal-issue-011849	5	— Московский бонист. — 1960. — № 5.	article-033468; article-033469; article-033470; article-033471; article-033472
journal-issue-011850	4	— Московский бонист. — 1961. — № 1 (6)	article-033473; article-033474; article-033475; article-033476
journal-issue-011851	8	— Московский бонист. — 1961. — № 2 (7).	article-033477; article-033478; article-033479; article-033480; article-033481; article-033482; article-033483; article-033484
journal-issue-011852	8	— Московский бонист. — 1961. — № 3 (8).	article-033485; article-033486; article-033487; article-033488; article-033489; article-033490; article-033491; article-033492
journal-issue-011853	6	— Московский бонист. — 1961. — № 4 (9).	article-033493; article-033494; article-033495; article-033496; article-033497; article-033498
journal-issue-011854	7	— Московский бонист. — 1961. — № 5 (10).	article-033499; article-033500; article-033501; article-033502; article-033503; article-033504; article-033505
journal-issue-011855	4	— Московский бонист. — 1961. — № 6 (11).	article-033506; article-033507; article-033508; article-033509
journal-issue-011856	4	— Московский бонист. — 1961. — № 7 (12).	article-033510; article-033511; article-033512; article-033513
journal-issue-011857	4	— Московский бонист. — 1961. — № 8 (13)	article-033514; article-033515; article-033516; article-033517
journal-issue-011858	3	— Московский бонист. — 1962. — № 2 (15).	article-033518; article-033519; article-033520
journal-issue-011859	12	— Московский бонист. — 1963. — № 1–2 (20–21).	article-033521; article-033522; article-033523; article-033524; article-033525; article-033526; article-033527; article-033528; article-033529; article-033530; article-033531; article-033532
journal-issue-011860	7	— Московский бонист. — 1963. — № 3–4 (22–23).	article-033533; article-033534; article-033535; article-033536; article-033537; article-033538; article-033539
journal-issue-011861	6	— Московский бонист. — 1963. — № 5–6 (24–25).	article-033540; article-033541; article-033542; article-033543; article-033544; article-033545
journal-issue-011862	10	— Московский бонист. — 1963. — № 7–8 (26–27).	article-033546; article-033547; article-033548; article-033549; article-033550; article-033551; article-033552; article-033553; article-033554; article-033555
journal-issue-011863	6	— Московский бонист. — 1964. — № 1 (28).	article-033556; article-033557; article-033558; article-033559; article-033560; article-033561
journal-issue-011864	4	— Московский бонист. — 1964. — № 2 (29).	article-033562; article-033563; article-033564; article-033565
journal-issue-011865	6	— Московский бонист. — 1964. — № 3–4 (30–31).	article-033566; article-033567; article-033568; article-033569; article-033570; article-033571
journal-issue-011866	11	— Московский бонист. — 1964. — № 5–6 (32–33).	article-033572; article-033573; article-033574; article-033575; article-033576; article-033577; article-033578; article-033579; article-033580; article-033581; article-033582
journal-issue-011867	7	— Московский бонист. — 1965. — № 1 (34).	article-033583; article-033584; article-033585; article-033586; article-033587; article-033588; article-033589
journal-issue-011868	7	— Московский бонист. — 1965. — № 2–3 (35–36).	article-033590; article-033591; article-033592; article-033593; article-033594; article-033595; article-033596
journal-issue-011869	6	— Московский бонист. — 1965. — № 4–5 (37–38).	article-033597; article-033598; article-033599; article-033600; article-033601; article-033602
journal-issue-011870	7	— Московский бонист. — 1965. — № 6–7 (39–40).	article-033603; article-033604; article-033605; article-033606; article-033607; article-033608; article-033609
journal-issue-011871	8	— Московский бонист. — 1966. — № 1–2 (41–42).	article-033610; article-033611; article-033612; article-033613; article-033614; article-033615; article-033616; article-033617
journal-issue-011872	10	— Московский бонист. — 1966. — № 3–4 (43–44).	article-033618; article-033619; article-033620; article-033621; article-033622; article-033623; article-033624; article-033625; article-033626; article-033627
journal-issue-011873	8	— Московский бонист. — 1966. — № 5–6 (45–46).	article-033628; article-033629; article-033630; article-033631; article-033632; article-033633; article-033634; article-033635
journal-issue-011874	7	— Московский бонист. — 1967. — № 1–2 (47–48).	article-033636; article-033637; article-033638; article-033639; article-033640; article-033641; article-033642
journal-issue-011875	10	— Московский бонист. — 1967. — № 3–4 (49–50).	article-033643; article-033644; article-033645; article-033646; article-033647; article-033648; article-033649; article-033650; article-033651; article-033652
journal-issue-011876	4	— Московский бонист. — 1967. — № 5 (51).	article-033653; article-033654; article-033655; article-033656
journal-issue-011877	7	— Московский бонист. — 1967. — № 6–7 (52–53).	article-033657; article-033658; article-033659; article-033660; article-033661; article-033662; article-033663
journal-issue-011878	9	— Московский бонист. — 1968. — № 1–2 (54–55).	article-033664; article-033665; article-033666; article-033667; article-033668; article-033669; article-033670; article-033671; article-033672
journal-issue-011879	2	— Московский бонист. — 1968. — № 3–4 (56–57).	article-033673; article-033674
journal-issue-011880	7	— Московский бонист. — 1968. — № 5–6 (58–59).	article-033675; article-033676; article-033677; article-033678; article-033679; article-033680; article-033681
journal-issue-011882	9	— Московский бонист. — 1969. — № 1–2 (60–61).	article-033682; article-033683; article-033684; article-033685; article-033686; article-033687; article-033688; article-033689; article-033690
journal-issue-011883	4	— Московский бонист. — 1969. — № 3–4 (62–63).	article-033691; article-033692; article-033693; article-033694
journal-issue-011884	8	— Московский бонист. — 1969. — № 5–6 (64–65).	article-033695; article-033696; article-033697; article-033698; article-033699; article-033700; article-033701; article-033702
journal-issue-011885	4	— Московский бонист. — 1970. — № 1–2 (66–67).	article-033703; article-033704; article-033705; article-033706
journal-issue-011886	8	— Московский бонист. — 1970. — № 3–4 (68–69).	article-033707; article-033708; article-033709; article-033710; article-033711; article-033712; article-033713; article-033714
journal-issue-011887	6	— Московский бонист. — 1970. — № 5–6 (70–71).	article-033715; article-033716; article-033717; article-033718; article-033719; article-033720
journal-issue-011888	6	— Московский бонист. — 1971. — № 1–2 (72–73).	article-033721; article-033722; article-033723; article-033724; article-033725; article-033726
journal-issue-011889	8	— Московский бонист. — 1971. — № 3–4 (74–75).	article-033727; article-033728; article-033729; article-033730; article-033731; article-033732; article-033733; article-033734
journal-issue-011890	4	— Московский бонист. — 1971. — № 5–6 (76–77).	article-033735; article-033736; article-033737; article-033738
journal-issue-011891	8	— Московский бонист. — 1972. — № 1–2 (78–79).	article-029773; article-033739; article-033740; article-033741; article-033742; article-033743; article-033744; article-033745
journal-issue-011893	6	— Московский бонист. — 1972. — № 3–4 (80–81).	article-033746; article-033747; article-033748; article-033749; article-033750; article-033751
journal-issue-011894	4	— Московский бонист. — 1972. — № 5–6 (82–83).	article-033752; article-033753; article-033754; article-033755
